#,carat,cut,color,clarity,depth,table,price,x,y,z
41043,0.41,Very Good,H,IF,62.9,54.0,1187,4.71,4.74,2.97
13143,1.01,Ideal,E,SI2,61.5,55.0,5437,6.44,6.51,3.98
39779,0.36,Ideal,D,VS2,60.6,57.0,1094,4.61,4.57,2.78
14883,1.05,Ideal,H,VS2,61.4,55.0,5993,6.53,6.57,4.02
390,0.7,Very Good,F,VS2,61.7,58.0,2812,5.63,5.69,3.49
30624,0.3,Premium,D,SI2,60.2,60.0,447,4.32,4.35,2.61
11166,1.07,Premium,D,SI2,62.4,61.0,4949,6.51,6.48,4.05
40157,0.35,Premium,G,IF,60.6,60.0,1116,4.57,4.54,2.76
17802,1.27,Very Good,H,VS2,59.2,58.0,7176,7.07,7.15,4.21
9992,1.12,Premium,H,SI2,61.9,58.0,4704,6.74,6.66,4.15
20842,1.51,Ideal,I,VS2,62.6,56.0,9069,7.27,7.32,4.57
3168,0.75,Ideal,F,SI1,61.8,56.0,3336,5.84,5.87,3.62
9813,0.91,Premium,H,VS1,61.0,59.0,4670,6.25,6.18,3.79
50578,0.56,Premium,E,VVS2,61.5,58.0,2279,5.3,5.33,3.27
16854,1.2,Premium,H,VS1,58.5,61.0,6720,6.98,6.93,4.07
53169,0.71,Premium,E,SI1,61.7,61.0,2629,5.76,5.74,3.55
28068,0.39,Very Good,H,VS2,60.7,56.0,661,4.77,4.79,2.9
31409,0.3,Ideal,G,VVS1,61.1,57.0,764,4.32,4.35,2.65
39455,0.57,Ideal,H,SI2,62.3,56.0,1077,5.31,5.28,3.3
21600,1.52,Premium,H,SI1,61.0,58.0,9700,7.44,7.39,4.52
26914,2.02,Premium,G,SI2,61.3,56.0,16929,8.22,8.16,5.02
3556,0.74,Very Good,E,VS1,62.8,59.0,3416,5.68,5.76,3.59
2582,0.95,Good,D,SI2,56.5,61.0,3214,6.53,6.5,3.68
33584,0.33,Ideal,F,VVS2,62.4,56.0,832,4.41,4.43,2.76
14080,1.2,Premium,F,SI2,62.9,57.0,5712,6.8,6.72,4.25
5846,1.0,Fair,I,SI1,56.4,61.0,3920,6.58,6.55,3.7
28066,0.31,Ideal,H,VVS1,61.6,57.0,660,4.32,4.35,2.67
11862,1.03,Ideal,D,SI2,61.8,54.0,5105,6.52,6.46,4.01
14676,1.21,Very Good,D,SI2,60.9,58.0,5922,6.83,6.89,4.18
21829,1.52,Good,H,SI1,63.6,57.0,9898,7.25,7.3,4.63
1945,0.81,Ideal,H,VS2,61.6,56.0,3084,6.03,5.98,3.7
29583,0.41,Good,E,SI1,63.1,57.0,705,4.73,4.78,3.0
116,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62
44542,0.53,Ideal,H,VS2,61.7,54.0,1604,5.23,5.2,3.22
51259,0.97,Fair,I,I1,67.3,55.0,2357,6.08,6.02,4.07
40072,0.53,Very Good,J,VS2,62.9,58.0,1114,5.16,5.18,3.25
15471,1.58,Premium,F,SI2,59.1,59.0,6194,7.68,7.59,4.51
9452,0.76,Ideal,F,IF,59.6,58.0,4596,5.95,5.96,3.55
36672,0.31,Premium,H,IF,60.8,59.0,949,4.39,4.36,2.66
17634,1.15,Ideal,H,SI1,61.6,55.0,7100,6.74,6.79,4.17
8405,1.03,Ideal,I,SI1,63.3,57.0,4401,6.37,6.46,4.06
18646,1.07,Very Good,G,VS2,60.0,56.0,7611,6.67,6.69,4.01
41811,0.54,Good,E,SI2,63.8,54.0,1250,5.18,5.17,3.3
10783,1.24,Premium,I,VS2,61.2,58.0,4858,6.94,6.89,4.23
21355,1.51,Premium,I,VVS2,62.1,58.0,9498,7.32,7.29,4.54
24506,1.5,Good,G,VS2,63.6,60.0,12787,7.24,7.2,4.59
6755,0.9,Ideal,F,SI1,62.3,56.0,4103,6.17,6.13,3.83
22144,2.02,Ideal,I,SI2,62.6,56.0,10181,8.05,8.01,5.03
43776,0.54,Ideal,E,SI1,60.6,58.0,1440,5.27,5.29,3.2
39801,0.38,Ideal,F,VVS1,62.4,53.0,1096,4.63,4.67,2.9
16331,1.01,Premium,F,VS2,61.7,58.0,6533,6.48,6.42,3.98
20453,1.1,Ideal,F,VS1,61.5,59.0,8796,6.63,6.58,4.06
35609,0.31,Ideal,G,VVS2,60.8,56.0,907,4.4,4.38,2.67
49681,0.76,Ideal,G,SI2,62.1,54.0,2143,5.88,5.84,3.64
12280,1.2,Good,I,SI1,63.9,56.0,5211,6.62,6.69,4.25
44069,0.55,Ideal,E,SI1,61.7,56.0,1551,5.24,5.29,3.25
7565,1.04,Very Good,D,SI2,58.2,59.0,4252,6.62,6.67,3.87
40165,0.31,Premium,E,VVS2,62.2,56.0,1116,4.31,4.28,2.67
41108,0.59,Ideal,F,SI2,61.7,54.0,1195,5.4,5.46,3.35
42213,0.52,Good,H,VS2,63.5,58.0,1289,5.11,5.12,3.25
7796,1.04,Premium,I,SI1,61.8,60.0,4290,6.47,6.51,4.01
49697,0.55,Very Good,F,VVS2,62.4,59.0,2147,5.2,5.22,3.25
53338,0.74,Premium,D,SI1,60.6,60.0,2655,5.88,5.84,3.55
17122,0.9,Ideal,F,VS2,62.3,56.0,6830,6.17,6.19,3.85
29173,0.4,Very Good,E,SI1,62.2,56.0,694,4.71,4.74,2.94
34530,0.33,Ideal,G,VVS1,61.7,56.0,868,4.45,4.47,2.75
22115,1.11,Very Good,F,VVS1,59.7,55.0,10141,6.77,6.82,4.06
19487,1.01,Premium,G,IF,63.0,60.0,8120,6.35,6.31,3.99
48495,0.52,Ideal,F,VS2,61.5,56.0,1981,5.19,5.21,3.2
30396,0.32,Ideal,G,VVS2,60.6,57.0,730,4.41,4.43,2.68
42062,0.51,Very Good,F,SI1,63.7,55.0,1271,5.06,5.11,3.24
21489,1.51,Good,I,VS1,63.6,57.0,9581,7.14,7.21,4.56
26234,1.7,Premium,E,SI1,62.3,57.0,15662,7.68,7.6,4.76
8860,1.13,Ideal,I,SI2,61.4,56.0,4481,6.69,6.71,4.12
25290,1.51,Very Good,F,VS2,61.9,63.0,13945,7.35,7.26,4.52
38603,0.4,Premium,E,VS2,62.0,58.0,1038,4.73,4.69,2.92
45302,0.31,Premium,F,SI2,63.0,58.0,523,4.36,4.34,2.74
8162,1.09,Ideal,J,VS2,62.0,54.0,4361,6.64,6.61,4.11
52251,0.71,Ideal,D,SI2,62.5,56.0,2487,5.7,5.73,3.57
16430,1.05,Ideal,G,VS2,61.9,57.0,6562,6.47,6.51,4.03
50663,0.31,Ideal,G,VS2,61.7,55.0,544,4.35,4.37,2.69
1246,0.78,Very Good,D,SI1,62.4,58.0,2945,5.86,5.9,3.67
36446,0.31,Ideal,D,VS2,61.8,55.0,942,4.37,4.33,2.69
44278,0.51,Very Good,H,VVS2,62.2,61.0,1577,5.06,5.1,3.16
32492,0.38,Ideal,F,VS2,62.0,54.0,796,4.64,4.69,2.89
49710,0.57,Ideal,G,VVS2,61.9,56.0,2147,5.3,5.29,3.28
23257,1.51,Very Good,H,VS1,63.2,60.0,11263,7.23,7.17,4.55
43415,0.51,Ideal,E,VS2,60.8,56.0,1413,5.18,5.21,3.16
35813,0.31,Ideal,F,IF,62.0,54.0,914,4.38,4.4,2.72
1852,0.8,Ideal,F,SI2,61.4,56.0,3064,5.99,5.93,3.66
42787,0.51,Premium,F,SI1,59.4,61.0,1349,5.26,5.21,3.11
43016,0.5,Ideal,I,VVS1,62.4,53.0,1370,5.1,5.12,3.19
40556,0.41,Ideal,D,VS1,61.0,57.0,1151,4.78,4.82,2.93
44443,0.59,Premium,H,VS2,60.2,60.0,1590,5.45,5.42,3.27
35097,0.3,Ideal,F,IF,62.1,54.0,886,4.32,4.35,2.69
33537,0.35,Ideal,D,VS2,61.6,56.0,829,4.53,4.56,2.8
8737,1.02,Fair,H,VS2,64.6,61.0,4462,6.32,6.24,4.06
26142,1.5,Ideal,F,VS2,61.9,56.4,15444,7.31,7.33,4.53
51219,0.59,Ideal,D,VS2,60.9,57.0,2352,5.42,5.48,3.32
23126,1.77,Ideal,J,VS1,62.2,56.0,11150,7.77,7.73,4.82
15639,1.01,Premium,F,VS2,60.4,59.0,6271,6.52,6.46,3.92
15167,1.44,Ideal,G,I1,63.2,55.0,6096,7.21,7.18,4.54
49193,0.71,Very Good,H,SI1,61.2,56.0,2076,5.69,5.72,3.49
8548,1.01,Very Good,H,SI1,61.9,57.0,4432,6.36,6.41,3.95
29177,0.3,Ideal,F,VVS2,61.5,55.0,694,4.33,4.35,2.67
25923,2.0,Very Good,J,VVS2,63.0,59.0,15076,7.97,8.0,5.03
35386,0.41,Ideal,G,VS1,61.4,55.0,899,4.78,4.8,2.94
31907,0.3,Premium,G,VS1,61.2,59.0,776,4.32,4.28,2.63
37326,0.36,Ideal,H,IF,60.6,56.0,980,4.64,4.66,2.82
51573,0.63,Premium,G,VS2,60.4,58.0,2391,5.6,5.59,3.38
7919,0.9,Good,E,VS2,64.2,59.0,4315,6.02,6.1,3.89
41061,0.5,Good,D,SI1,57.2,60.0,1190,5.25,5.2,2.99
32759,0.34,Premium,I,VVS1,62.6,58.0,803,4.47,4.45,2.79
41641,0.4,Ideal,H,IF,62.7,57.0,1238,4.7,4.68,2.94
33341,0.41,Premium,I,VVS2,62.4,60.0,827,4.7,4.73,2.94
26203,1.5,Fair,E,VS1,65.4,57.0,15584,7.14,7.07,4.65
37458,0.42,Premium,H,VVS2,62.4,55.0,984,4.81,4.78,2.99
23472,1.57,Premium,H,VS2,61.0,59.0,11470,7.5,7.54,4.59
32893,0.36,Ideal,E,SI1,62.1,56.0,810,4.59,4.56,2.84
26011,0.35,Ideal,D,SI1,62.3,55.0,644,4.52,4.56,2.83
23963,1.57,Premium,H,VVS2,62.1,56.0,12098,7.47,7.43,4.63
27698,0.41,Ideal,G,SI2,61.7,56.0,648,4.79,4.81,2.96
36949,0.3,Very Good,D,SI1,58.8,63.0,479,4.32,4.35,2.55
49138,0.56,Ideal,D,VS2,62.2,56.0,2066,5.28,5.24,3.27
26877,1.73,Very Good,G,VS2,62.9,58.0,16807,7.58,7.65,4.79
9191,1.04,Ideal,F,SI2,61.8,56.0,4547,6.49,6.53,4.02
9572,1.0,Premium,D,SI2,62.2,61.0,4626,6.36,6.3,3.94
53438,0.7,Premium,E,VS2,60.9,59.0,2673,5.68,5.71,3.47
42550,0.52,Ideal,G,SI1,62.4,55.0,1325,5.15,5.17,3.22
46921,0.52,Very Good,G,VS1,63.3,55.0,1815,5.12,5.09,3.23
39154,0.46,Premium,G,SI1,60.6,59.0,1063,5.04,5.0,3.04
27977,0.3,Ideal,E,VS2,62.1,55.0,658,4.32,4.35,2.69
47888,0.59,Premium,D,SI1,62.3,54.0,1912,5.41,5.38,3.36
44711,0.61,Premium,D,SI1,61.6,58.0,1614,5.37,5.34,3.3
2514,0.9,Ideal,E,SI2,62.6,56.0,3200,6.15,6.06,3.82
34856,0.3,Good,G,VVS2,63.8,56.0,878,4.29,4.27,2.73
14758,1.01,Ideal,D,SI1,62.0,57.0,5939,6.44,6.37,3.97
37347,0.31,Ideal,D,VVS2,61.9,57.0,982,4.35,4.31,2.68
1378,0.7,Very Good,E,VS1,61.5,56.0,2967,5.69,5.75,3.52
13725,0.3,Good,E,VS2,59.7,63.0,603,4.32,4.35,2.59
39880,0.42,Ideal,G,VVS2,61.3,56.0,1103,4.82,4.81,2.95
5729,0.25,Very Good,E,VVS1,59.7,58.0,575,4.13,4.14,2.47
48001,0.52,Ideal,D,VS2,61.5,56.0,1919,5.19,5.15,3.18
8921,1.0,Good,E,SI2,63.3,58.0,4496,6.32,6.35,4.01
10191,0.95,Very Good,E,SI1,61.6,56.0,4738,6.31,6.36,3.9
21383,0.34,Very Good,D,SI1,62.8,55.0,626,4.45,4.5,2.81
15095,1.01,Good,D,VS2,64.2,60.0,6066,6.32,6.35,4.07
18659,1.11,Premium,F,VS1,60.7,59.0,7623,6.64,6.61,4.02
11112,1.21,Premium,E,SI2,61.0,58.0,4933,6.93,6.88,4.21
49772,0.5,Ideal,F,VVS2,62.0,55.0,2160,5.12,5.1,3.17
31754,0.4,Premium,D,SI1,59.9,60.0,772,4.75,4.77,2.85
17613,1.3,Very Good,H,VS2,62.5,59.0,7092,6.93,6.96,4.34
53592,0.7,Ideal,D,SI1,61.4,57.0,2699,5.68,5.72,3.5
43784,0.57,Ideal,G,SI1,62.3,54.0,1441,5.34,5.35,3.33
11643,1.13,Very Good,E,SI2,60.3,58.0,5052,6.78,6.86,4.11
1836,0.71,Ideal,G,SI1,61.5,55.0,3061,5.75,5.79,3.55
6992,0.9,Very Good,H,VS2,62.7,59.0,4155,6.1,6.15,3.84
51635,0.31,Very Good,H,VS1,61.7,61.0,544,4.31,4.34,2.67
33808,0.32,Ideal,G,VVS1,62.4,55.0,842,4.37,4.38,2.73
53702,0.7,Premium,F,VS2,62.6,61.0,2717,5.66,5.61,3.53
26730,0.32,Premium,G,VS1,61.0,59.0,645,4.39,4.43,2.69
10600,1.29,Fair,F,SI2,64.4,57.0,4824,6.85,6.79,4.39
5956,0.9,Good,F,SI1,63.1,58.0,3950,6.12,6.18,3.88
49981,0.8,Good,F,SI2,63.9,57.0,2189,5.86,5.84,3.74
2488,0.8,Ideal,D,SI1,61.7,56.0,3195,5.96,6.0,3.69
13546,1.02,Ideal,F,SI1,60.1,59.0,5549,6.59,6.56,3.95
10317,1.03,Ideal,D,SI2,62.8,56.0,4764,6.46,6.43,4.05
8352,1.04,Fair,D,SI2,64.9,56.0,4398,6.39,6.34,4.13
12396,1.13,Ideal,F,SI2,61.8,57.0,5232,6.71,6.68,4.14
11498,1.12,Ideal,G,SI2,61.5,57.0,5018,6.74,6.68,4.13
33517,0.33,Premium,E,VS2,62.0,60.0,829,4.46,4.41,2.75
45754,0.61,Premium,G,VS1,61.7,60.0,1704,5.46,5.4,3.35
45907,0.54,Ideal,E,SI1,61.5,56.0,1720,5.26,5.22,3.23
4626,1.27,Very Good,I,I1,60.2,62.0,3665,7.0,7.05,4.23
27305,2.03,Premium,F,SI1,61.3,59.0,17803,8.15,8.22,5.02
25397,1.5,Premium,G,VS1,61.2,59.0,14105,7.32,7.36,4.49
21529,1.67,Premium,H,SI2,61.6,57.0,9625,7.66,7.61,4.7
48060,0.55,Ideal,D,VS2,61.5,56.0,1928,5.25,5.28,3.24
19139,1.2,Ideal,D,SI1,62.7,55.0,7903,6.79,6.71,4.23
24242,2.01,Fair,G,SI2,56.2,63.0,12450,8.28,8.23,4.64
15227,1.25,Very Good,H,SI1,62.4,55.0,6113,6.85,6.89,4.29
28593,0.3,Ideal,G,VS2,63.0,55.0,675,4.31,4.29,2.71
8006,1.01,Premium,G,SI2,61.0,58.0,4327,6.48,6.43,3.94
48928,0.55,Ideal,G,VVS1,62.0,55.0,2042,5.25,5.27,3.26
50694,0.7,Very Good,E,SI2,60.1,56.0,2290,5.76,5.79,3.47
32840,0.46,Ideal,H,SI1,61.7,55.0,807,4.99,5.02,3.09
3826,0.73,Ideal,E,VS1,61.4,55.0,3471,5.8,5.82,3.57
15481,1.23,Ideal,H,SI2,62.1,56.0,6199,6.85,6.82,4.24
44398,0.5,Premium,E,VS2,63.0,58.0,1583,5.07,5.02,3.18
1217,0.8,Ideal,E,SI2,60.8,56.0,2939,6.02,6.01,3.66
11375,0.34,Premium,H,VS1,61.4,59.0,596,4.5,4.53,2.77
22019,1.5,Ideal,H,VS1,61.3,55.0,10080,7.37,7.34,4.51
9306,1.0,Very Good,H,SI1,62.4,58.0,4574,6.37,6.42,3.99
42094,0.45,Very Good,H,VVS1,62.3,57.0,1274,4.9,4.93,3.06
2069,0.32,Premium,G,VS2,61.5,60.0,561,4.4,4.42,2.71
43787,0.56,Ideal,F,SI1,61.4,57.0,1441,5.3,5.28,3.25
2519,0.84,Ideal,I,VS1,61.4,57.0,3201,6.03,6.09,3.72
1949,0.72,Ideal,F,VS1,62.4,56.0,3084,5.76,5.72,3.58
14971,1.25,Ideal,H,SI2,61.6,55.0,6030,6.89,6.94,4.26
33883,0.3,Premium,E,VS2,61.9,59.0,844,4.33,4.29,2.67
15591,1.24,Ideal,H,SI1,61.3,57.0,6254,6.95,6.89,4.24
51494,0.71,Premium,F,SI1,61.6,57.0,2381,5.73,5.7,3.52
23204,1.06,Ideal,D,VVS2,61.1,56.0,11209,6.58,6.59,4.02
28326,0.33,Ideal,G,VS1,62.1,55.0,666,4.43,4.46,2.76
13582,1.0,Very Good,I,VS1,60.8,59.0,5557,6.39,6.44,3.9
18060,0.36,Premium,F,SI1,61.1,60.0,616,4.62,4.57,2.81
18288,1.01,Good,G,VVS2,63.1,56.0,7430,6.34,6.4,4.02
42244,0.52,Ideal,D,SI2,61.2,57.0,1292,5.2,5.22,3.19
51422,0.75,Premium,E,SI2,63.0,58.0,2372,5.78,5.71,3.62
44376,0.6,Ideal,F,SI1,61.5,55.0,1580,5.49,5.44,3.36
45983,0.3,Good,H,VS1,63.2,56.0,526,4.25,4.29,2.7
14267,1.34,Ideal,I,SI2,61.3,55.0,5778,7.16,7.12,4.38
42655,0.4,Premium,E,VVS1,61.4,59.0,1333,4.68,4.74,2.89
38206,0.43,Premium,F,SI1,61.3,60.0,1016,4.86,4.83,2.97
31623,0.3,Ideal,H,SI1,61.9,57.0,450,4.3,4.32,2.67
27581,1.6,Ideal,F,VS2,62.0,55.0,18421,7.49,7.54,4.66
7325,1.01,Ideal,G,SI2,62.1,59.0,4209,6.45,6.41,3.99
20478,1.48,Ideal,E,SI2,62.1,57.0,8818,7.35,7.28,4.54
42173,0.5,Ideal,F,SI1,62.7,56.0,1286,5.12,5.05,3.19
11685,1.01,Ideal,H,SI1,61.0,56.0,5062,6.48,6.43,3.94
31576,0.36,Ideal,E,VS1,60.8,55.0,767,4.58,4.63,2.8
37371,0.4,Premium,D,VS2,62.5,59.0,982,4.66,4.72,2.93
44380,0.5,Premium,E,VS2,60.7,59.0,1581,5.11,5.13,3.11
33067,0.32,Ideal,H,IF,61.2,57.0,814,4.41,4.44,2.71
3120,0.7,Ideal,H,VVS2,61.8,55.0,3325,5.69,5.74,3.53
48966,0.34,Very Good,H,VS2,61.9,56.0,537,4.46,4.49,2.77
11645,1.2,Good,J,VS2,63.7,56.0,5053,6.67,6.62,4.23
49412,0.7,Very Good,G,SI1,62.5,57.0,2106,5.63,5.7,3.54
44762,0.52,Ideal,E,VS2,61.3,56.0,1621,5.17,5.21,3.18
14560,1.0,Premium,D,SI1,61.4,58.0,5880,6.43,6.37,3.93
9458,1.09,Very Good,D,SI2,62.2,59.0,4598,6.46,6.49,4.03
140,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43
24314,1.21,Ideal,F,VVS1,61.1,57.0,12556,6.87,6.91,4.21
30378,0.3,Ideal,E,VS1,61.6,57.0,729,4.3,4.33,2.66
4777,1.11,Premium,I,SI2,61.3,59.0,3692,6.69,6.63,4.09
38123,0.3,Premium,G,VVS1,60.7,58.0,1013,4.36,4.34,2.64
50255,0.7,Premium,I,VS1,61.7,61.0,2234,5.69,5.63,3.49
45580,0.52,Ideal,G,VS1,61.8,55.0,1689,5.17,5.21,3.21
49279,0.54,Premium,G,VVS2,60.5,55.0,2090,5.28,5.24,3.18
14515,1.14,Ideal,I,VS1,61.7,53.0,5863,6.75,6.77,4.17
22823,1.55,Very Good,E,SI1,62.4,58.0,10851,7.36,7.42,4.61
17200,1.21,Very Good,H,VS1,63.3,58.0,6871,6.77,6.72,4.27
42930,0.62,Ideal,F,SI2,61.8,55.0,1364,5.5,5.51,3.4
23452,1.5,Very Good,D,SI1,62.7,59.0,11442,7.21,7.24,4.53
2599,0.9,Good,E,SI2,62.0,63.0,3218,6.09,6.14,3.79
3406,0.33,Good,D,SI1,63.1,55.0,567,4.38,4.4,2.77
11740,1.22,Very Good,I,SI2,62.9,56.0,5072,6.79,6.84,4.29
26023,0.32,Ideal,F,VS2,62.3,56.0,645,4.37,4.4,2.73
51023,0.74,Premium,F,SI2,61.4,57.0,2328,5.82,5.8,3.57
789,0.62,Fair,F,IF,60.1,61.0,2861,5.53,5.56,3.33
32809,0.34,Ideal,E,VS1,62.2,55.0,805,4.49,4.52,2.8
27712,0.36,Premium,I,VS2,62.7,59.0,648,4.58,4.54,2.86
34467,0.38,Ideal,F,VS1,62.0,54.0,865,4.65,4.68,2.89
18378,0.29,Good,E,VVS2,62.7,62.0,617,4.19,4.23,2.64
3378,0.31,Very Good,G,SI2,62.3,57.0,408,4.33,4.37,2.71
19713,1.51,Fair,F,SI2,61.8,66.0,8287,7.18,7.16,4.43
19010,1.21,Very Good,F,VS2,63.5,58.0,7826,6.76,6.73,4.28
29446,0.41,Very Good,F,SI1,62.5,58.0,702,4.74,4.77,2.97
38244,0.32,Ideal,E,IF,62.3,54.0,1018,4.38,4.41,2.74
23724,0.25,Very Good,F,VVS1,61.1,57.0,633,4.05,4.08,2.48
19290,1.52,Premium,I,SI2,59.8,62.0,8010,7.47,7.41,4.45
44415,0.54,Ideal,I,SI1,62.3,55.0,1586,5.22,5.27,3.27
13124,1.01,Premium,E,VS2,62.3,59.0,5430,6.38,6.33,3.96
1322,0.7,Very Good,F,VS1,60.1,58.0,2959,5.73,5.79,3.46
3767,0.9,Premium,F,SI2,61.6,58.0,3457,6.23,6.15,3.81
25984,2.01,Very Good,F,SI2,61.6,56.0,15188,8.17,8.13,5.02
6282,1.01,Very Good,F,SI2,60.8,63.0,4017,6.38,6.32,3.86
11827,1.08,Ideal,E,SI1,62.6,57.0,5096,6.53,6.56,4.1
22173,1.52,Very Good,E,SI2,63.3,58.0,10214,7.31,7.25,4.61
15177,1.01,Premium,F,VS2,63.0,58.0,6097,6.43,6.36,4.03
22543,1.61,Very Good,E,SI2,60.4,58.0,10580,7.59,7.64,4.6
52175,0.7,Premium,E,SI2,62.8,59.0,2475,5.69,5.64,3.56
45379,0.72,Very Good,J,SI1,62.7,56.0,1666,5.66,5.72,3.57
4976,0.78,Ideal,D,VS2,62.9,56.0,3736,5.85,5.88,3.69
33363,0.41,Ideal,G,VS2,60.9,57.0,827,4.79,4.84,2.93
30423,0.32,Ideal,H,VVS1,61.6,56.0,730,4.39,4.41,2.71
38223,0.4,Very Good,E,VVS2,63.5,54.0,1017,4.69,4.73,2.99
31794,0.42,Premium,F,SI1,61.8,58.0,773,4.81,4.84,2.98
27568,2.01,Good,G,SI1,60.1,61.0,18374,8.04,8.12,4.86
41942,0.28,Very Good,H,VVS1,59.9,62.0,504,4.23,4.28,2.55
49910,0.71,Premium,G,SI1,58.9,62.0,2181,5.85,5.79,3.43
15428,1.04,Very Good,G,VS2,61.9,57.0,6177,6.46,6.5,4.01
49243,0.51,Ideal,E,VS2,61.6,55.0,2085,5.16,5.19,3.19
6032,0.25,Very Good,E,VVS1,60.2,59.0,575,4.11,4.13,2.48
49235,0.7,Ideal,I,SI1,62.1,58.0,2083,5.68,5.72,3.54
10818,1.0,Ideal,G,SI1,62.4,56.0,4867,6.34,6.41,3.98
35100,0.3,Ideal,F,IF,62.4,54.0,886,4.33,4.36,2.71
44074,0.59,Very Good,H,VS2,61.8,56.0,1552,5.37,5.41,3.33
20503,1.59,Ideal,I,SI1,62.1,57.0,8835,7.48,7.46,4.64
26221,2.01,Good,H,SI1,60.9,65.0,15618,8.22,8.18,4.99
48693,0.76,Very Good,D,SI2,59.1,63.0,2006,5.91,5.84,3.47
9233,1.02,Good,D,SI1,64.3,54.0,4558,6.32,6.27,4.05
51580,0.61,Premium,F,VVS2,59.7,58.0,2392,5.56,5.53,3.31
24999,1.51,Good,G,VS1,62.4,59.0,13515,7.25,7.28,4.53
13053,1.09,Ideal,D,SI2,61.7,59.0,5410,6.64,6.62,4.09
28463,0.32,Very Good,H,VVS1,61.2,57.0,672,4.39,4.42,2.69
23592,1.51,Premium,F,SI1,62.2,59.0,11607,7.34,7.3,4.55
8890,1.06,Good,F,SI1,57.0,64.0,4488,6.8,6.71,3.85
13074,1.17,Ideal,D,SI2,62.5,56.0,5412,6.77,6.7,4.21
41761,0.43,Ideal,E,VVS2,62.0,57.0,1245,4.84,4.87,3.01
20030,0.32,Very Good,J,VS1,60.6,59.0,421,4.42,4.46,2.69
13604,1.02,Very Good,E,VS2,62.8,59.0,5565,6.39,6.44,4.03
51898,0.71,Very Good,H,VS2,62.6,56.0,2432,5.68,5.72,3.57
1729,0.32,Ideal,G,VS2,61.8,57.0,561,4.37,4.4,2.71
3511,1.14,Fair,J,SI2,64.4,55.0,3403,6.56,6.54,4.22
34260,0.3,Ideal,F,VVS1,62.6,56.0,857,4.26,4.29,2.67
48795,0.78,Premium,J,SI2,60.6,58.0,2022,5.94,5.91,3.59
52801,0.83,Ideal,J,VS2,62.1,56.0,2570,5.98,6.03,3.73
5019,0.93,Very Good,E,SI2,63.0,58.0,3746,6.16,6.18,3.89
38273,0.26,Ideal,I,VS2,62.0,56.0,385,4.13,4.09,2.55
32685,0.31,Ideal,G,VS1,62.9,57.0,802,4.32,4.3,2.71
11259,1.11,Ideal,E,SI2,61.2,57.0,4969,6.7,6.74,4.11
34414,0.3,Ideal,G,IF,60.7,57.0,863,4.34,4.39,2.65
46653,0.51,Ideal,D,VS2,61.9,57.0,1787,5.09,5.15,3.17
48519,0.58,Ideal,E,VS2,61.9,56.0,1984,5.38,5.35,3.32
40073,0.54,Ideal,I,SI1,61.4,56.0,1114,5.25,5.27,3.23
22545,1.23,Ideal,F,VVS2,63.0,55.0,10580,6.89,6.79,4.31
7698,1.01,Good,F,SI1,64.1,60.0,4276,6.21,6.16,3.97
11311,1.01,Ideal,E,SI2,62.2,55.0,4984,6.4,6.43,3.99
45687,0.54,Ideal,H,VVS2,61.8,56.0,1696,5.25,5.27,3.25
3618,0.77,Premium,D,VS2,61.3,60.0,3428,5.92,5.89,3.62
17448,1.07,Very Good,G,VS1,60.9,55.0,6998,6.6,6.64,4.03
6010,0.91,Very Good,G,SI1,63.6,57.0,3961,6.09,6.12,3.88
22595,1.6,Very Good,D,SI2,60.6,58.0,10646,7.55,7.61,4.59
14451,1.33,Premium,I,SI2,62.4,58.0,5832,7.04,7.02,4.39
28016,0.3,Ideal,E,VS2,62.3,56.0,658,4.3,4.34,2.69
32115,0.43,Ideal,H,SI1,61.9,55.0,783,4.84,4.88,3.01
44961,0.58,Premium,I,VVS1,62.6,59.0,1636,5.27,5.31,3.31
14602,1.23,Ideal,H,SI1,63.0,56.0,5889,6.83,6.79,4.29
50053,0.58,Very Good,F,VVS2,60.0,57.0,2201,5.44,5.42,3.26
43484,0.47,Ideal,G,VVS1,61.6,56.0,1421,4.99,5.05,3.09
20277,1.03,Ideal,F,VVS2,61.6,56.0,8701,6.46,6.53,4.0
26547,2.01,Good,F,SI2,58.1,64.0,16231,8.23,8.19,4.77
20575,1.29,Ideal,H,VS1,61.2,57.0,8887,7.01,7.05,4.3
2881,0.7,Ideal,D,VS1,61.1,57.0,3278,5.73,5.75,3.51
44842,0.42,Ideal,H,VVS1,61.3,56.0,1625,4.83,4.86,2.97
5647,1.2,Very Good,J,SI2,59.6,62.0,3880,6.9,6.95,4.13
36241,0.46,Ideal,G,SI1,62.2,53.4,934,4.95,4.98,3.09
10575,1.03,Good,I,VS2,60.0,62.0,4819,6.51,6.55,3.92
12327,0.91,Good,F,VVS2,62.6,61.0,5225,6.12,6.19,3.85
29200,0.33,Ideal,I,IF,61.6,55.0,694,4.46,4.47,2.75
43558,0.52,Ideal,E,SI1,61.4,57.0,1429,5.18,5.15,3.17
53449,0.73,Very Good,F,SI1,61.4,60.0,2675,5.74,5.76,3.53
20295,1.6,Ideal,H,VS2,61.2,57.0,8709,7.57,7.5,4.61
38202,0.44,Very Good,G,SI2,60.6,55.0,1016,4.94,4.96,3.0
